Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Snatch (Barbell)",1,40.0,3,0,0,"","",
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Snatch (Barbell)",2,40.0,3,0,0,,,
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Snatch (Barbell)",3,50.0,2,0,0,,,
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Snatch (Barbell)",4,60.0,4,0,0,,,
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Snatch (Barbell)",5,60.0,4,0,0,,,
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Snatch (Barbell)",6,60.0,4,0,0,,,
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Snatch (Barbell)",7,60.0,4,0,0,,,
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Snatch (Barbell)",8,70.0,1,0,0,,,
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Clean (Barbell)",1,50.0,4,0,0,"",,
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Clean (Barbell)",2,60.0,2,0,0,,,
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Clean (Barbell)",3,70.0,2,0,0,,,
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Clean (Barbell)",4,80.0,2,0,0,,,
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Clean (Barbell)",5,85.0,4,0,0,,,
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Clean (Barbell)",6,85.0,4,0,0,,,
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Clean (Barbell)",7,85.0,4,0,0,,,
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Clean (Barbell)",8,90.0,4,0,0,,,
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Front Squat (Barbell)",1,50.0,4,0,0,"",,
2020-12-30 18:51:52,"Evening Workout",2h 38m,"Front Squat (Barbell)",2,70.0,2,0,0,,,
